S.No,Date,"Module / Component","Issue Description / Requirement","Action Taken & Bug Fix Details","Files Modified",Status,"Verified By"
1,25-Aug-2026,"Admin Panel UI & Sidebar","Fullscreen me sidebar scroll nahi ho raha tha, last options cut rahe the","Added responsive scroll container with max-height: calc(100vh - 80px) and custom slim scrollbar in CSS. Last menu items are fully visible.","assets/css/style.css, admin/header.php",Passed,"QA Team / Dev"
2,25-Aug-2026,"Admin Filter Tabs","Tab buttons screens par cut ho rahe the","Styled .srku-filter-bar and .srku-filter-btn in a sleek single-row flex layout with smooth horizontal overflow scroll for all screen sizes.","assets/css/style.css, admin/manage_homepage.php",Passed,"QA Team / Dev"
3,25-Aug-2026,"Homepage Controls Manager","Home page ke section controls sidebar me properly organize karne the","Created centralized manage_homepage.php hub with dedicated tabs & sidebar sub-menus for Hero Video, Welcome, Stats, Chancellor, and VC Desk.","admin/manage_homepage.php, admin/header.php",Passed,"QA Team / Dev"
4,25-Aug-2026,"Hero Video & Fallback Image","Hero video play nahi ho raha tha aur admin se fallback image connect karni thi","Connected video uploader + manual path + live preview player. Integrated fallback image (assets/uploads/2026/08/srku-rkdf-building.jpeg) for instant fallback rendering.","index.php, admin/manage_homepage.php",Passed,"QA Team / Dev"
5,25-Aug-2026,"Leadership Messages (Fatal Error)","chancellor-message.php aur vice-chancellor-message.php par fatal error aa raha tha","Added top-level include require_once __DIR__ . ""/includes/functions.php""; before getSetting() calls to fix fatal undefined function errors.","chancellor-message.php, vice-chancellor-message.php",Passed,"QA Team / Dev"
6,25-Aug-2026,"Vice Chancellor Profile & Photo","VC page aur admin me purani photo (ruchichaubey.webp) show ho rahi thi","Purani photo DB aur Admin se remove kar di gayi. Ms. Priyanka Jaiswal ke liye clean Academic Avatar Icon active kiya jab tak new photo upload na ho.","admin/manage_homepage.php, vice-chancellor-message.php, settings table",Passed,"QA Team / Dev"
7,25-Aug-2026,"Leadership Content Synchronization","Chancellor aur VC page ka poora content Admin CMS se editable karna tha","Pre-filled complete detailed letters into chancellor_full_page_msg and vc_full_page_msg in DB and linked them live to their respective pages.","admin/manage_homepage.php, chancellor-message.php, vice-chancellor-message.php",Passed,"QA Team / Dev"
8,25-Aug-2026,"Constituent Units Dynamic Images","Homepage aur Constituent Unit pages par images uploads folder se dynamic connect karni thi","Added image column in departments table, mapped high-res building images, added image uploader + preview in manage_departments.php, and made grids dynamic in index.php & constituent-unit.php.","departments table, admin/manage_departments.php, index.php, constituent-unit.php",Passed,"QA Team / Dev"
9,25-Aug-2026,"Department Detail Pages Image Banner","Department detail pages par bhi building image show karni thi","Integrated high-definition Campus & Infrastructure image banner at the top of department-detail.php with overlay badge and est. year.",department-detail.php,Passed,"QA Team / Dev"
10,25-Aug-2026,"Dean / Principal Leadership Section","Constituent units ke Dean/Principal ka name, designation, photo aur message connect karna tha","Added dean_designation, dean_photo, and dean_message fields in DB & Admin. Applied strict conditional rendering on frontend so it stays hidden unless actual details are entered.","departments table, admin/manage_departments.php, department-detail.php",Passed,"QA Team / Dev"
11,25-Aug-2026,"Admin Clean-up: Live Ticker","Unnecessary Live Ticker bar remove karna tha","Removed Live Ticker tab from manage_homepage.php and sidebar navigation since news is already covered dynamically.","admin/manage_homepage.php, admin/header.php",Passed,"QA Team / Dev"
12,25-Aug-2026,"Admin Clean-up: Dynamic Pages","manage_pages.php irrelevant tha kyunki saare pages custom-coded .php files hain","Removed Dynamic Pages from Admin Sidebar and replaced dashboard card with Faculty Directory (1,000+).","admin/header.php, admin/index.php",Passed,"QA Team / Dev"
13,25-Aug-2026,"Admin Clean-up: Page Banners","manage_banners.php repeated tha","Removed Page Banners from Admin Sidebar and replaced dashboard card with Blogs & Articles.","admin/header.php, admin/index.php",Passed,"QA Team / Dev"
